site_id,fold,method,window_days,true_full_category,assigned_category,category_correct,rmse,mae,bias
site_74,5,window,14,2,4,False,9.655682794513158,7.387710961678628,4.480642434732631
site_91,5,window,14,2,2,True,8.187656161755438,6.202333641440698,-3.3377235085476986
site_35,1,window,30,5,1,False,14.372566217970347,12.319932273039397,10.151015609545864
site_36,1,window,30,0,0,True,12.242257169497968,8.807769079868155,-3.3510229281382515
site_45,1,window,30,3,1,False,14.98065374461692,11.22135389326369,-5.179079438602174
site_54,1,window,30,3,1,False,25.568925151779233,22.01925705861284,-21.86255948137602
site_57,1,window,30,5,4,False,20.43015086659018,16.008356100097703,-15.80076649664668
site_66,1,window,30,5,1,False,10.95552961379584,9.982324650086541,9.694202378543073
site_79,1,window,30,4,4,True,6.067593546664206,4.803561755021921,-4.279775143288099
site_26,2,window,30,3,4,False,5.088813177453265,3.856864080869297,0.09924268475424707
site_49,2,window,30,3,4,False,6.39471378304414,5.1643909001943324,3.0385499568958085
site_53,2,window,30,2,4,False,16.834411463832723,14.376993237549863,-14.20378902694688
site_58,2,window,30,4,4,True,15.017628737156798,11.678823397958425,-5.067351874089817
site_59,2,window,30,4,4,True,24.588818629372362,18.164670861262106,-15.272230803577745
site_60,2,window,30,1,4,False,9.244471518062266,7.017855489002501,-1.3926126639167729
site_64,2,window,30,4,4,True,13.983999362013892,11.488671237146821,3.1890445364674305
site_88,2,window,30,3,0,False,4.972952211332605,3.838895975220909,-2.5514293756986826
site_29,3,window,30,1,0,False,6.088862008206429,4.853753210685026,0.33419478501275507
site_43,3,window,30,1,0,False,9.583194719891713,7.101801287424346,-4.467557237248108
site_47,3,window,30,1,0,False,11.246159332008567,8.8505250203323,-7.076573987326614
site_63,3,window,30,1,1,True,18.436897554909475,16.478252713582435,-0.0039334964606936446
site_67,3,window,30,5,2,False,7.6812803334612045,6.102453499560026,3.659129951066523
site_69,3,window,30,5,0,False,8.853738809178248,6.503699558678326,-3.3617480465859844
site_70,3,window,30,1,4,False,13.284585104218378,11.581330468082845,10.572309146493625
site_89,3,window,30,0,0,True,4.4403860364650285,3.644692696404622,1.3963012963718597
site_135,4,window,30,0,0,True,8.5442367642641,6.841328217021418,4.015230029612752
site_39,4,window,30,1,0,False,12.490884175807055,10.352456616460117,-9.533776853139004
site_46,4,window,30,0,0,True,9.440833364600119,7.887614716089017,0.20371824195928384
site_51,4,window,30,1,0,False,18.107926641822118,13.642671661528961,-12.5982554973892
site_62,4,window,30,0,0,True,5.932023816667203,4.394585546976855,1.4849782079978358
site_65,4,window,30,0,0,True,5.873501879313373,4.329426887911404,0.9171287657114946
site_68,4,window,30,4,4,True,9.48574391428906,7.073193500276432,-0.5198744416320124
site_76,4,window,30,0,4,False,15.414127011901954,13.243920024339149,12.170015581217436
site_44,5,window,30,2,2,True,9.124311712703435,6.942962363942582,5.780265339510646
site_48,5,window,30,2,2,True,12.847835967413918,11.14333732877346,10.982543065838435
